2020/6/7(Sun) 21:35:35.772,,check self id,,
2020/6/7(Sun) 21:35:37.198,,tap a menu icon,,
2020/6/7(Sun) 21:35:38.296,,open a logout form,,
2020/6/7(Sun) 21:35:39.334,,logout,,
2020/6/7(Sun) 21:35:53.12,,tap a menu icon,,
2020/6/7(Sun) 21:35:53.930,,open a logout form,,
2020/6/7(Sun) 21:35:55.433,,logout,,
2020/6/7(Sun) 21:36:5.870,,tap a menu icon,,
2020/6/7(Sun) 21:36:6.781,,open a logout form,,
2020/6/7(Sun) 21:36:8.52,,logout,,
2020/6/7(Sun) 21:36:32.621,,tap a home icon,,
2020/6/7(Sun) 21:36:37.591,,tap a menu icon,,
2020/6/7(Sun) 21:36:38.516,,open a logout form,,
2020/6/7(Sun) 21:36:40.91,,logout,,
2020/6/7(Sun) 21:41:8.217,,tap a menu icon,,
2020/6/7(Sun) 21:41:10.25,,open a logout form,,
2020/6/7(Sun) 21:41:11.208,,logout,,
2020/6/7(Sun) 21:44:25.516,,tap a menu icon,,
2020/6/7(Sun) 21:44:26.303,,open a logout form,,
2020/6/7(Sun) 21:44:27.566,,logout,,
2020/6/7(Sun) 21:45:15.37,,tap a menu icon,,
2020/6/7(Sun) 21:45:15.752,,open a logout form,,
2020/6/7(Sun) 21:45:16.803,,logout,,
2020/6/7(Sun) 21:50:35.780,,tap a menu icon,,
2020/6/7(Sun) 21:50:38.78,,open a logout form,,
2020/6/7(Sun) 21:50:39.348,,logout,,
